col3,filename,order,artist_name,work_name,work_date,number,row_num
#B09162,golden_morning.csv,5,Grace Cossington Smith,Golden morning,1/1/1945,7,5
#C3B5A2,golden_morning.csv,6,Grace Cossington Smith,Golden morning,1/1/1945,7,6
#433E36,signing.csv,1,Grace Cossington Smith,Signing,1/6/1945,13,1
#57758C,signing.csv,2,Grace Cossington Smith,Signing,1/6/1945,13,2
#B36819,signing.csv,3,Grace Cossington Smith,Signing,1/6/1945,13,3
#D0A756,signing.csv,4,Grace Cossington Smith,Signing,1/6/1945,13,4
#D9CBA5,signing.csv,5,Grace Cossington Smith,Signing,1/6/1945,13,5
#E29919,signing.csv,6,Grace Cossington Smith,Signing,1/6/1945,13,6
#4C4026,bush_at_evening.csv,1,Grace Cossington Smith,Bush at evening,1/1/1947,3,1
#655727,bush_at_evening.csv,2,Grace Cossington Smith,Bush at evening,1/1/1947,3,2
#788364,bush_at_evening.csv,3,Grace Cossington Smith,Bush at evening,1/1/1947,3,3
#8D713E,bush_at_evening.csv,4,Grace Cossington Smith,Bush at evening,1/1/1947,3,4
#A7945B,bush_at_evening.csv,5,Grace Cossington Smith,Bush at evening,1/1/1947,3,5
#C4B89E,bush_at_evening.csv,6,Grace Cossington Smith,Bush at evening,1/1/1947,3,6
#665F41,drapery_and_wattle.csv,1,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,1
#76886F,drapery_and_wattle.csv,2,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,2
#93714E,drapery_and_wattle.csv,3,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,3
#A59565,drapery_and_wattle.csv,4,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,4
#BCB39A,drapery_and_wattle.csv,5,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,5
#BFA261,drapery_and_wattle.csv,6,Grace Cossington Smith,Drapery and wattle,1/1/1952,5,6
#543E30,interior.csv,1,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,1
#708C77,interior.csv,2,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,2
#9C5C27,interior.csv,3,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,3
#A25741,interior.csv,4,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,4
#C4A452,interior.csv,5,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,5
#C9BEA0,interior.csv,6,Grace Cossington Smith,Interior with wardrobe mirror,1/1/1955,9,6
#395539,the_window.csv,1,Grace Cossington Smith,The window,1/1/1956,19,1
#508E5E,the_window.csv,2,Grace Cossington Smith,The window,1/1/1956,19,2
#579699,the_window.csv,3,Grace Cossington Smith,The window,1/1/1956,19,3
#9A6436,the_window.csv,4,Grace Cossington Smith,The window,1/1/1956,19,4
#B5B8A3,the_window.csv,5,Grace Cossington Smith,The window,1/1/1956,19,5
#B69F53,the_window.csv,6,Grace Cossington Smith,The window,1/1/1956,19,6
